"id","price","carat","cut","color","clarity","depth","table","x","y","z"
27,788,0.35,"Ideal","I","VVS2",62.3,57,4.53,4.49,2.81
28,4632,1.01,"Good","F","SI1",57.4,57,6.52,6.48,3.73
29,2230,0.7,"Premium","F","SI1",61.9,58,5.69,5.74,3.54
30,4763,1.05,"Very Good","E","SI2",63.3,57,6.5,6.46,4.1
31,4977,1.01,"Ideal","H","SI1",62.3,55,6.43,6.37,3.99
32,14137,1.7,"Very Good","H","VS1",62.8,57,7.47,7.57,4.72
33,1067,0.32,"Ideal","D","VVS1",61.3,57,4.39,4.42,2.7
34,3050,0.76,"Ideal","H","SI1",61.3,55,5.87,5.93,3.62
35,15729,2.01,"Ideal","I","VS2",66.7,56,7.75,7.65,5.14
37,6194,1.54,"Premium","J","VS1",60.9,61,7.49,7.45,4.55
38,15497,1.21,"Ideal","F","IF",62.8,56,6.75,6.84,4.27
39,911,0.3,"Ideal","D","VS2",62.6,56,4.31,4.28,2.69
40,3107,0.9,"Very Good","G","SI2",63.3,59,6.12,6.07,3.86
41,4523,1.07,"Premium","G","SI2",62,59,6.54,6.5,4.04
42,3709,0.86,"Ideal","D","SI1",62.8,56,6.05,6.08,3.81
43,540,0.32,"Premium","J","VS1",60.6,59,4.46,4.42,2.69
44,5122,1.01,"Very Good","D","SI1",62.2,58,6.36,6.4,3.97
45,1154,0.54,"Good","H","SI1",63.3,57,5.15,5.22,3.28
46,8358,1.06,"Ideal","G","VVS2",61.7,56,6.59,6.56,4.06
47,8693,1.24,"Ideal","H","VVS1",61.9,55,6.85,6.91,4.27
48,14699,1.53,"Premium","G","VS1",62.6,60,7.39,7.3,4.6
49,5889,1.06,"Ideal","H","VS2",62.5,57,6.49,6.47,4.05
50,2025,0.51,"Ideal","F","VVS2",61.4,56,5.16,5.17,3.17
51,3518,0.74,"Ideal","E","VS2",60.2,55,5.87,5.92,3.55
52,2488,0.7,"Good","G","VS2",64.3,56,5.51,5.58,3.57
53,11314,1.37,"Ideal","E","VS2",60.3,54,7.26,7.2,4.36
54,492,0.23,"Very Good","E","IF",59.9,58,3.98,4.03,2.4
55,2432,0.71,"Ideal","I","VS1",61.5,60,5.7,5.74,3.52
57,737,0.4,"Very Good","F","SI1",62.7,57,4.68,4.7,2.94
58,3354,0.71,"Very Good","F","VVS2",62.1,60,5.69,5.72,3.54
59,1262,0.42,"Very Good","E","VVS2",59.4,60,4.88,4.91,2.91
61,17607,2,"Ideal","I","VS1",62,57,8.04,7.99,4.97
62,7630,1.34,"Premium","H","VS2",62.3,60,7.05,7.02,4.38
63,6827,1.09,"Very Good","G","VS1",62.5,59,6.54,6.57,4.1
64,1718,0.36,"Ideal","D","VVS1",61.5,55,4.61,4.63,2.84
65,3919,0.9,"Very Good","H","VS2",63.1,60,6.12,6.08,3.85
66,14404,1.63,"Very Good","G","VS1",62.5,60,7.43,7.51,4.67
67,2327,0.71,"Premium","I","VS1",61.8,58,5.76,5.72,3.55
68,4008,0.9,"Ideal","G","SI1",60.8,58,6.2,6.29,3.8
69,1556,0.55,"Premium","G","VS2",60.3,62,5.33,5.29,3.2
70,571,0.31,"Ideal","D","SI1",61.7,57,4.34,4.38,2.69
71,4339,0.72,"Very Good","E","VVS1",60.8,58,5.79,5.83,3.53
72,4718,1.02,"Very Good","D","SI2",63.4,59,6.41,6.37,4.05
73,2898,0.79,"Ideal","G","SI1",62.3,57,5.9,5.85,3.66
74,450,0.25,"Ideal","I","VS2",62,57,4.02,4.06,2.5
75,2657,0.7,"Good","E","VS1",65.5,57,5.46,5.54,3.6
76,3501,1.01,"Ideal","H","SI2",61.6,56,6.48,6.44,3.98
77,2777,0.7,"Premium","E","SI1",62.7,59,5.67,5.63,3.54
78,3335,0.7,"Ideal","D","VS1",62,57,5.69,5.76,3.55
79,789,0.31,"Ideal","G","VVS1",62.5,54,4.34,4.37,2.72
80,695,0.31,"Premium","G","VS1",60.4,59,4.41,4.37,2.65
81,4733,1.09,"Ideal","G","SI2",61.7,57,6.57,6.62,4.07
82,749,0.37,"Premium","I","VS1",61.4,59,4.61,4.55,2.81
83,828,0.32,"Ideal","F","VS2",61.1,57,4.47,4.44,2.72
84,658,0.3,"Premium","E","VS2",59.9,59,4.33,4.38,2.61
85,1795,0.6,"Ideal","G","VS2",62.1,56,5.4,5.45,3.37
86,586,0.28,"Ideal","G","VVS2",61.6,56,4.18,4.2,2.58
87,1395,0.52,"Ideal","J","SI1",62.3,56,5.12,5.16,3.2
88,1280,0.55,"Premium","G","SI2",61.8,56,5.28,5.23,3.25
89,645,0.32,"Ideal","G","VS1",61.8,55,4.42,4.45,2.74
90,1694,0.52,"Very Good","E","VS2",63.4,57,5.16,5.12,3.26
91,17515,1.51,"Premium","D","VS1",62.9,54,7.29,7.22,4.56
92,425,0.23,"Good","D","VVS1",60.3,66,3.91,3.95,2.37
93,12288,1.76,"Very Good","H","SI1",63.1,59,7.69,7.59,4.82
96,952,0.4,"Good","G","VS1",59.6,61,4.82,4.85,2.88
97,10042,2.09,"Premium","I","SI2",60.1,59,8.34,8.3,5
98,1786,0.55,"Premium","E","VS2",60.5,58,5.26,5.32,3.2
99,2298,0.6,"Ideal","F","VVS2",61.8,57,5.36,5.42,3.33
100,4299,1.01,"Very Good","F","SI2",63.3,57,6.39,6.37,4.04
101,1814,0.56,"Ideal","D","SI1",62.5,56,5.26,5.24,3.28
102,457,0.34,"Very Good","I","VS2",61.6,56,4.47,4.51,2.76
103,4666,1.01,"Good","E","SI2",63.7,58,6.32,6.36,4.04
104,1678,0.5,"Ideal","E","VS1",62.4,58,5.04,5.06,3.15
105,3161,0.71,"Premium","D","VS2",62.4,59,5.73,5.68,3.56
106,13001,1.52,"Very Good","E","VS2",60.3,59,7.43,7.52,4.51
107,1050,0.4,"Ideal","G","VS1",62.3,57,4.73,4.68,2.93
108,514,0.3,"Ideal","H","SI1",62.2,53,4.29,4.32,2.68
109,929,0.4,"Good","F","VS2",62,61.3,4.69,4.72,2.91
110,14970,2.47,"Premium","I","SI2",62.5,56,8.65,8.6,5.39
111,4366,1.07,"Premium","F","SI2",61.7,58,6.55,6.58,4.05
112,689,0.34,"Premium","H","VS2",61.7,60,4.51,4.47,2.77
113,664,0.29,"Very Good","D","VVS2",62.3,59,4.21,4.26,2.64
115,10681,1.5,"Very Good","H","VS1",60.7,58,7.35,7.42,4.48
116,530,0.23,"Ideal","F","VVS2",62,56,3.92,3.98,2.45
117,419,0.24,"Very Good","E","VS2",63,58,3.94,3.97,2.49
118,487,0.28,"Very Good","F","VS1",62.1,59,4.16,4.21,2.6
119,2325,0.6,"Ideal","D","VS2",61.5,55,5.42,5.45,3.34
120,1123,0.41,"Ideal","G","VVS1",61.5,57,4.79,4.82,2.95
121,530,0.23,"Very Good","D","VVS1",63.3,58,3.9,3.93,2.48
122,5853,1.2,"Very Good","H","VS1",63.1,57,6.69,6.65,4.2
123,3968,0.91,"Ideal","E","SI2",61.5,56,6.2,6.23,3.82
124,943,0.32,"Ideal","F","IF",61.8,54,4.44,4.46,2.75
125,545,0.3,"Ideal","G","VS2",61.6,58,4.27,4.3,2.64
126,866,0.41,"Very Good","E","VS2",59.7,58,4.79,4.82,2.87
127,1920,0.56,"Good","E","VS2",62.3,63,5.22,5.27,3.27
128,1226,0.53,"Ideal","H","SI1",62.4,59,5.18,5.21,3.24
129,1142,0.42,"Ideal","F","VVS2",61.7,57,4.78,4.81,2.96
130,10951,1.51,"Premium","G","SI1",62.7,58,7.3,7.25,4.56
131,1389,0.54,"Premium","G","SI1",60.3,57,5.4,5.24,3.21
132,1303,0.61,"Good","I","VS2",63.4,55,5.42,5.46,3.45
133,8951,1.51,"Good","I","VS2",62.2,59,7.19,7.3,4.51
134,2027,0.51,"Premium","G","VVS1",60.2,58,5.24,5.2,3.14
135,9555,1.05,"Ideal","G","VVS2",61.4,56,6.54,6.59,4.03
136,15235,2.12,"Premium","I","SI2",60.6,59,8.3,8.27,5.02
138,2307,0.7,"Good","E","SI2",63.7,61,5.64,5.6,3.58
139,2670,0.72,"Very Good","F","SI1",63.4,58,5.69,5.66,3.6
140,5543,1.01,"Premium","D","SI1",60,60,6.51,6.45,3.89
142,2052,0.57,"Premium","F","SI1",62.1,59,5.31,5.28,3.29
143,3666,0.9,"Good","I","VS1",63.5,61,5.96,6.01,3.8
144,13996,2.11,"Premium","J","SI1",62.4,58,8.27,8.17,5.13
145,5474,1.2,"Premium","I","VS2",62.1,59,6.77,6.72,4.19
146,666,0.37,"Premium","I","VS2",61.6,60,4.61,4.58,2.83
147,630,0.35,"Ideal","H","SI1",62.3,57,4.55,4.5,2.82
148,5210,0.92,"Very Good","E","VS1",61.3,57,6.22,6.27,3.83
149,388,0.25,"Very Good","D","VS1",62.6,58,4.05,4.07,2.54
150,972,0.32,"Ideal","D","VS2",62.4,57,4.38,4.34,2.72
151,964,0.54,"Ideal","J","SI1",62.5,54,5.22,5.25,3.27
152,982,0.4,"Premium","D","VS2",62.5,59,4.66,4.72,2.93
153,566,0.27,"Ideal","G","IF",61.6,57,4.18,4.21,2.58
154,15959,1.52,"Ideal","G","VVS1",62.4,55,7.3,7.39,4.58
155,4077,1.04,"Ideal","H","SI2",59.6,56,6.64,6.59,3.94
156,702,0.32,"Very Good","E","VS2",62,54,4.37,4.41,2.72
157,8736,1.5,"Ideal","I","SI1",62.3,55,7.35,7.31,4.57
158,983,0.38,"Premium","G","VS2",59.9,58,4.77,4.72,2.84
159,3075,0.76,"Ideal","I","VS2",61.7,56,5.87,5.9,3.63
160,5882,1.01,"Fair","E","VS2",65.3,59,6.15,6.1,4
161,10023,1.5,"Very Good","H","VS2",60.9,59,7.37,7.43,4.51
162,789,0.3,"Ideal","H","IF",62.1,55,4.27,4.3,2.66
163,8079,1.34,"Ideal","I","VVS2",61.4,56,7.07,7.09,4.35
164,652,0.3,"Ideal","F","VS1",62.2,54.4,4.3,4.33,2.68
165,4514,0.91,"Very Good","H","VS1",60,58,6.29,6.38,3.8
166,3425,0.91,"Good","H","SI1",63.9,60,6.13,6.08,3.9
167,3195,0.83,"Very Good","G","VS2",62.7,58,5.97,6.03,3.76
168,961,0.42,"Ideal","G","VVS2",62.3,53,4.83,4.86,3.02
169,1419,0.5,"Good","E","VS2",63.1,61,5,5.05,3.17
170,895,0.4,"Very Good","F","VS1",63.1,56,4.68,4.7,2.96
171,740,0.25,"Premium","E","VVS2",62,59,4.08,4.05,2.52
172,956,0.34,"Ideal","E","VS2",62.4,56,4.49,4.45,2.79
173,732,0.31,"Ideal","D","SI1",62.9,56,4.34,4.31,2.72
175,16643,2.38,"Premium","H","SI1",58.2,60,8.81,8.78,5.12
176,8400,1.5,"Premium","F","SI1",60,60,7.48,7.42,4.47
177,965,0.33,"Premium","G","VVS2",60.9,59,4.49,4.45,2.72
178,15105,1.8,"Ideal","H","VS1",62.3,56,7.79,7.76,4.84
179,5055,1.01,"Very Good","D","SI1",58.1,61,6.59,6.66,3.85
180,3669,0.85,"Very Good","D","SI1",60.3,57,6.09,6.22,3.71
181,2804,0.7,"Ideal","D","SI1",61,59,5.68,5.7,3.47
182,761,0.3,"Ideal","D","VS1",61,57,4.3,4.33,2.63
183,686,0.34,"Very Good","G","VS1",60.4,61,4.48,4.53,2.72
185,599,0.26,"Ideal","F","VVS1",62.4,56,4.1,4.11,2.56
186,1718,0.57,"Ideal","D","VS2",60.3,57,5.42,5.4,3.26
187,814,0.3,"Ideal","F","VVS1",61.9,57,4.3,4.32,2.67
188,504,0.35,"Good","H","SI1",63.2,57,4.48,4.51,2.84
189,1202,0.48,"Ideal","I","IF",61.4,55,5.05,5.08,3.11
190,483,0.35,"Ideal","J","VS1",62.6,53.7,4.51,4.54,2.83
191,5258,1.06,"Very Good","F","SI2",61.8,56.4,6.51,6.56,4.04
192,1013,0.36,"Premium","E","VS2",60.3,59,4.64,4.58,2.78
193,3856,0.71,"Ideal","D","VVS2",61.3,57,5.7,5.81,3.53
195,18312,2.1,"Ideal","G","SI2",61.3,55,8.19,8.25,5.04
196,4983,1.02,"Ideal","E","SI2",62.6,54.6,6.4,6.44,4.02
197,763,0.35,"Very Good","D","VS1",60.9,58,4.54,4.56,2.77
199,10264,1.04,"Very Good","F","IF",63,55,6.36,6.53,4.06
200,1092,0.4,"Ideal","E","VS2",61.6,57,4.73,4.75,2.92
201,8669,1.5,"Premium","H","SI1",61.6,58,7.33,7.38,4.53
202,2060,0.54,"Ideal","G","VVS2",61.5,57,5.21,5.26,3.22
203,1180,0.5,"Ideal","G","SI2",60.7,56,5.13,5.18,3.13
204,8291,1.5,"Very Good","I","SI1",63.1,59,7.16,7.23,4.54
205,631,0.3,"Good","I","IF",63.3,57,4.23,4.3,2.7
207,1389,0.33,"Ideal","F","IF",62.1,56,4.41,4.44,2.75
208,1068,0.5,"Very Good","F","SI2",61.4,61,5.09,5.14,3.14
209,586,0.28,"Ideal","G","VVS2",61.5,56,4.22,4.24,2.6
210,4399,0.77,"Very Good","F","VVS1",60.2,58,5.93,5.97,3.58
211,1229,0.53,"Ideal","E","SI2",61.2,55,5.23,5.26,3.21
212,958,0.42,"Ideal","E","VS2",61.3,56,4.81,4.85,2.96
213,4557,1.04,"Ideal","H","SI2",61.7,55,6.49,6.53,4.02
214,802,0.31,"Ideal","G","VS1",61.5,56,4.43,4.39,2.71
215,421,0.3,"Very Good","H","SI1",61.3,58,4.29,4.33,2.64
216,1602,0.5,"Very Good","D","VS2",63.3,58,5.03,5.05,3.19
217,828,0.31,"Ideal","F","VVS1",62.4,55,4.33,4.36,2.71
218,5839,1.01,"Very Good","G","VS2",61.6,56,6.4,6.46,3.96
219,522,0.28,"Very Good","G","VVS2",62.5,53,4.18,4.21,2.62
220,14810,2.04,"Very Good","H","SI2",60.8,58,8.14,8.23,4.98
221,2048,0.79,"Good","J","VS2",57.6,59,6.13,6.06,3.51
222,7405,1.1,"Very Good","G","VS2",61.9,56.7,6.57,6.63,4.09
223,4455,1.02,"Premium","F","SI1",62.6,58,6.42,6.36,4
224,2037,0.73,"Premium","J","VS1",60.2,58,5.87,5.82,3.52
225,457,0.3,"Ideal","H","VS2",62.1,55,4.3,4.33,2.68
226,4299,1.01,"Ideal","G","SI2",61.5,57,6.5,6.42,3.97
227,746,0.39,"Premium","G","SI2",62.7,54,4.71,4.64,2.93
228,7660,1.24,"Premium","G","VS1",62,59,6.88,6.92,4.28
229,4536,0.9,"Premium","F","VS2",61.9,55,6.25,6.23,3.86
230,2415,0.7,"Very Good","I","VVS2",60.1,63,5.81,5.74,3.47
232,10548,1.51,"Premium","H","VS2",61.5,58,7.45,7.32,4.45
233,7283,1.22,"Premium","H","VS1",58.9,59,7.02,6.96,4.12
234,1263,0.4,"Ideal","F","VVS1",61.7,56,4.72,4.75,2.92
235,3283,0.8,"Good","F","VS2",60.5,62.3,5.97,6.01,3.62
236,8375,1.03,"Very Good","F","VVS2",61.3,57,6.49,6.53,3.99
237,880,0.33,"Ideal","F","VVS1",61.9,54,4.42,4.46,2.75
238,2012,0.52,"Ideal","G","VVS2",61.7,56,5.16,5.14,3.18
240,3879,0.75,"Ideal","G","VVS2",62.2,56,5.78,5.82,3.61
241,1114,0.33,"Premium","G","VVS1",61.4,60,4.44,4.39,2.71
242,741,0.33,"Very Good","F","VS1",62.7,59,4.35,4.39,2.74
243,2293,0.53,"Ideal","G","IF",60.3,56,5.29,5.33,3.2
244,583,0.37,"Premium","J","VS2",61.1,60,4.63,4.6,2.82
245,2240,0.71,"Very Good","G","SI1",63.1,60,5.6,5.69,3.56
246,17024,2.01,"Very Good","E","SI2",62,61,8.04,8.1,5
247,4416,1.01,"Very Good","F","SI2",62.8,60,6.33,6.4,4
248,1034,0.5,"Very Good","J","VS1",61.4,57.8,5.09,5.14,3.15
249,3050,0.62,"Very Good","D","VVS2",58.1,63,5.59,5.66,3.27
250,1020,0.32,"Ideal","G","IF",62.9,55,4.41,4.37,2.76
251,4798,1.02,"Ideal","H","VVS2",60.9,57,6.49,6.44,3.94
252,4782,1.03,"Ideal","I","SI1",61.1,55,6.53,6.57,4
253,4200,1.04,"Premium","G","SI2",61.2,58,6.5,6.57,4
254,4914,0.9,"Good","G","VVS2",63.6,58,6.11,6.1,3.88
255,720,0.32,"Premium","G","VS2",62.1,60,4.39,4.34,2.71
256,412,0.24,"Very Good","E","VS1",62.5,55,3.96,3.98,2.48
257,10685,1.21,"Ideal","G","VS1",61.6,57,6.85,6.87,4.22
258,803,0.34,"Premium","D","SI1",62,56,4.47,4.43,2.76
259,2519,0.73,"Premium","H","VS2",61,58,5.84,5.76,3.54
260,602,0.32,"Premium","H","VVS2",62.2,58,4.33,4.38,2.71
261,7370,1.01,"Very Good","F","VS2",61.5,54,6.45,6.5,3.98
262,706,0.35,"Ideal","G","VS1",62.6,54,4.52,4.56,2.84
263,870,0.52,"Premium","F","I1",63,56,5.18,5.11,3.24
264,2441,0.7,"Good","F","VS1",63.7,57,5.55,5.62,3.56
265,14844,1.51,"Premium","E","VS2",60.7,60,7.46,7.37,4.5
266,596,0.34,"Ideal","H","VS1",62.1,57,4.48,4.51,2.79
267,4018,0.91,"Premium","H","VS2",62.5,59,6.19,6.09,3.84
268,1654,0.5,"Premium","D","SI1",62.6,56,5.05,5.04,3.16
269,1781,0.51,"Ideal","E","VS2",61.7,54,5.18,5.13,3.18
270,2184,0.71,"Very Good","G","SI1",62.9,56,5.68,5.73,3.59
271,5123,1.07,"Premium","H","SI1",60,60,6.65,6.61,3.98
273,449,0.32,"Ideal","E","SI2",62.7,55,4.39,4.42,2.76
274,1422,0.54,"Ideal","E","SI1",61.3,56,5.22,5.25,3.21
276,5142,1.06,"Premium","F","SI1",61,58,6.6,6.65,4.04
277,684,0.3,"Good","G","VVS2",63.5,56,4.29,4.34,2.74
278,7956,1.25,"Very Good","F","SI1",61.4,56,6.91,6.94,4.25
280,1713,0.52,"Ideal","E","SI1",60.9,57,5.17,5.2,3.16
281,544,0.31,"Very Good","E","SI1",59.1,59,4.42,4.44,2.62
282,8941,1.25,"Very Good","G","VS2",62.2,57,6.84,6.88,4.27
283,3316,0.71,"Ideal","D","SI1",62.3,56,5.72,5.7,3.56
284,3629,0.9,"Premium","F","SI2",58.4,62,6.37,6.34,3.71
285,616,0.32,"Very Good","F","VS1",62.2,55,4.37,4.39,2.72
286,783,0.25,"Ideal","E","VVS1",62.3,53,4.08,4.11,2.55
287,1651,0.71,"Good","I","SI1",60,64,5.71,5.79,3.45
288,574,0.31,"Ideal","G","VS2",61.4,57,4.35,4.38,2.68
289,1176,0.57,"Premium","F","SI2",61.4,56,5.38,5.29,3.28
290,1555,0.52,"Very Good","D","VS2",60.9,58,5.22,5.16,3.16
291,2522,0.71,"Ideal","G","SI1",59.7,60,5.79,5.81,3.46
292,2517,0.71,"Good","H","VVS2",63,59,5.64,5.67,3.56
293,5964,1.04,"Very Good","G","VS2",61.3,58,6.45,6.53,3.98
294,1825,0.52,"Ideal","E","VS2",62.2,54,5.13,5.16,3.2
295,926,0.32,"Ideal","F","VVS1",61.8,56,4.42,4.45,2.74
296,1121,0.57,"Ideal","H","SI2",62,57,5.3,5.35,3.3
297,6112,1.18,"Ideal","G","SI1",62.5,55,6.77,6.74,4.22
298,9921,1.23,"Ideal","G","VVS2",62.2,56.1,6.8,6.87,4.25
299,3251,0.8,"Ideal","E","SI2",60.9,57,6,6.03,3.66
300,10668,1.5,"Premium","H","VS2",60.6,61,7.34,7.31,4.44
302,3634,1.03,"Ideal","F","I1",61,56,6.58,6.52,3.99
303,621,0.3,"Ideal","E","VS2",61.7,58,4.27,4.29,2.64
305,818,0.41,"Premium","E","SI2",59.5,62,4.84,4.8,2.87
306,458,0.23,"Good","E","VVS1",60.6,65,3.95,3.97,2.4
308,515,0.3,"Ideal","I","VVS2",62,56,4.29,4.32,2.67
309,1015,0.41,"Very Good","D","SI1",63.1,59,4.71,4.7,2.97
310,514,0.28,"Ideal","H","VVS2",61.6,56,4.22,4.26,2.61
311,789,0.31,"Ideal","G","VVS1",61.9,54,4.35,4.37,2.7
312,1115,0.41,"Ideal","F","VVS2",61.2,56,4.78,4.8,2.93
313,2596,0.7,"Ideal","F","SI1",61.4,57,5.69,5.67,3.49
315,942,0.31,"Ideal","D","VS2",62.1,55,4.32,4.31,2.68
316,3685,1,"Premium","J","VS2",62,62,6.42,6.35,3.96
317,4607,1.1,"Very Good","E","SI2",60.1,62,6.65,6.69,4.01
318,646,0.34,"Ideal","E","VS2",62.2,57,4.42,4.46,2.76
319,3744,0.78,"Very Good","F","VS1",61.7,55,5.89,5.94,3.65
320,2355,0.73,"Ideal","F","SI2",62.2,60,5.72,5.75,3.57
321,3967,0.92,"Very Good","F","SI1",63.5,58,6.16,6.12,3.9
322,1911,0.58,"Ideal","G","VS1",61.5,55,5.36,5.41,3.31
323,661,0.3,"Ideal","D","VS1",62,54,4.3,4.34,2.68
324,1963,0.57,"Ideal","D","VS2",62.1,56,5.34,5.29,3.3
325,1355,0.46,"Premium","E","VS1",62,58,4.98,4.95,3.08
326,4565,1.09,"Ideal","J","SI1",61.4,55,6.61,6.67,4.08
327,5280,1.13,"Very Good","G","SI1",60.9,60,6.67,6.76,4.09
328,575,0.25,"Very Good","E","VVS2",59.8,59,4.07,4.09,2.44
329,2854,0.73,"Premium","E","VS2",62,57,5.86,5.76,3.6
330,2637,0.71,"Ideal","I","VS1",61.8,54,5.77,5.72,3.56
331,1061,0.41,"Premium","I","VVS2",62.9,58,4.74,4.71,2.97
332,4596,1.2,"Ideal","I","SI2",63,57,6.77,6.7,4.24
333,2757,0.86,"Fair","E","SI2",55.1,69,6.45,6.33,3.52
335,9371,1.27,"Premium","G","VS1",61.1,60,6.99,7.03,4.28
336,17590,1.03,"Ideal","D","IF",62,56,6.55,6.44,4.03
337,1770,0.7,"Fair","D","SI2",67.8,58,5.51,5.44,3.71
339,17245,2.02,"Ideal","H","SI1",62.5,54,8.07,8.1,5.05
340,13606,1.52,"Premium","G","VS2",62,58,7.39,7.33,4.56
341,587,0.36,"Ideal","I","VS1",62,54,4.58,4.61,2.85
342,710,0.3,"Premium","D","VS2",60.4,59,4.32,4.35,2.62
343,2422,0.9,"Fair","I","SI2",67.7,61,6.04,5.86,4.03
345,12646,1.55,"Ideal","E","SI1",62.3,56,7.43,7.37,4.61
347,4626,1,"Premium","D","SI2",59.5,62,6.52,6.49,3.87
348,658,0.3,"Ideal","E","VS2",62.5,56,4.28,4.3,2.68
349,583,0.31,"Ideal","G","VS1",61.9,55,4.36,4.37,2.7
350,5787,1.21,"Good","E","SI2",64,62,6.65,6.59,4.24
351,2376,0.75,"Fair","D","SI1",65.1,57,5.64,5.6,3.66
352,4746,1.02,"Ideal","F","SI2",61.8,57,6.43,6.49,3.99
353,1220,0.51,"Good","F","SI1",63.6,56,5.08,5.11,3.24
354,18784,2.05,"Premium","F","SI2",60.2,59,8.28,8.33,5
356,11903,2.01,"Premium","F","SI2",62,60,7.88,7.82,4.87
357,4977,1.01,"Premium","H","SI1",60.4,60,6.55,6.47,3.93
358,1389,0.54,"Very Good","F","SI1",63.3,56,5.24,5.21,3.31
359,14956,2.01,"Good","H","SI2",62.2,57,8.05,8.1,5.03
360,4191,1.01,"Fair","H","SI1",64.6,55,6.29,6.25,4.05
361,525,0.25,"Very Good","G","VVS1",61.8,56,4.03,4.06,2.5
362,719,0.41,"Ideal","G","SI1",62.6,54,4.74,4.78,2.98
363,12261,1.46,"Premium","G","VS1",62.3,58,7.25,7.2,4.5
364,2129,0.55,"Ideal","G","VVS2",62,57,5.26,5.22,3.25
365,435,0.31,"Good","I","VS2",63.2,55,4.3,4.4,2.75
367,3218,0.77,"Premium","F","VS2",62.1,59,5.85,5.87,3.64
368,11489,1.5,"Ideal","E","SI1",62,55,7.4,7.32,4.56
369,5280,1.2,"Premium","H","SI2",62.3,58,6.76,6.81,4.23
370,622,0.4,"Good","E","SI2",63.1,57,4.7,4.72,2.97
371,982,0.4,"Very Good","D","VS2",62.8,57,4.68,4.72,2.95
372,680,0.31,"Very Good","E","VS2",61,59,4.33,4.39,2.66
373,1251,0.46,"Ideal","E","VS2",62.1,57,4.93,4.89,3.05
374,1081,0.42,"Ideal","I","VS2",61.4,56,4.83,4.85,2.97
375,552,0.3,"Good","D","SI1",63.2,56,4.24,4.27,2.69
376,6906,1.04,"Premium","F","VS2",61.7,59,6.49,6.45,3.99
377,3175,0.7,"Good","E","VS1",63.6,58,5.67,5.62,3.59
378,7934,2.2,"Fair","I","I1",66.3,56,8.05,8,5.32
379,6055,1.06,"Ideal","D","SI1",62.7,54,6.55,6.52,4.1
380,1422,0.43,"Premium","F","VVS1",61.5,56,4.9,4.86,3
381,898,0.42,"Premium","D","SI2",62.1,59,4.82,4.78,2.98
383,695,0.38,"Ideal","G","SI1",60.6,57,4.71,4.76,2.87
384,852,0.36,"Ideal","D","VS2",61.7,55,4.58,4.6,2.83
385,657,0.26,"Very Good","F","VVS1",62,55,4.08,4.13,2.54
386,7352,1.01,"Premium","G","IF",61.3,58,6.48,6.4,3.95
387,3265,1,"Good","F","SI2",63.6,62,6.25,6.2,3.96
388,1625,0.52,"Very Good","E","VS2",61.5,58,5.18,5.24,3.2
389,5278,1.06,"Ideal","H","SI1",63,55,6.49,6.44,4.08
390,18077,2.02,"Ideal","G","VS2",61.7,53,8.14,8.04,4.99
391,1323,0.4,"Ideal","F","VVS1",61.7,56,4.75,4.72,2.92
392,868,0.43,"Ideal","H","VS1",62.3,57,4.81,4.84,3
393,2399,0.76,"Premium","E","SI2",60,59,5.94,5.9,3.55
394,7495,1.5,"Very Good","H","SI2",63.1,57,7.16,7.27,4.55
395,2493,0.72,"Ideal","I","VVS1",62.9,57,5.68,5.77,3.6
